P(Friday|Relationship),P(Museum|Relationship),P(Sick|Relationship),P(WYD|Relationship),P(Bored|Relationship),P(Missed Show|Relationship),P(Oolong Tea|Relationship),P(Lunch|Relationship),P(Common Room|Relationship),P(Party|Relationship),P(Friday|Friendship),P(Museum|Friendship),P(Sick|Friendship),P(WYD|Friendship),P(Bored|Friendship),P(Missed Show|Friendship),P(Oolong Tea|Friendship),P(Lunch|Friendship),P(Common Room|Friendship),P(Party|Friendship),P(Friday|Hookup),P(Museum|Hookup),P(Sick|Hookup),P(WYD|Hookup),P(Bored|Hookup),P(Missed Show|Hookup),P(Oolong Tea|Hookup),P(Lunch|Hookup),P(Common Room|Hookup),P(Party|Hookup),Race,Major,Gender,Sexuality,Age
0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.4666666666666667,0.0,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.46153846153846156,0.15384615384615385,[1],"[3, 4]",2,4,19
0.0,0.2857142857142857,0.21428571428571427,0.25,0.0,0.0,0.14285714285714285,0.0,0.10714285714285714,0.0,0.0,0.16666666666666666,0.23333333333333334,0.13333333333333333,0.0,0.2,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,[4],[3],2,1,21
0.0,0.2,0.2222222222222222,0.0,0.0,0.0,0.17777777777777778,0.17777777777777778,0.0,0.2222222222222222,0.0,0.16216216216216217,0.2702702702702703,0.0,0.10810810810810811,0.0,0.0,0.1891891891891892,0.0,0.2702702702702703,0.0,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,[4],"[2, 3]",2,1,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1],[1],1,1,23
0.2,0.26666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.23333333333333334,0.13333333333333333,0.0,0.1388888888888889,0.25,0.16666666666666666,0.0,0.0,0.19444444444444445,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.0,[4],[3],1,1,21
0.2631578947368421,0.2631578947368421,0.0,0.2631578947368421,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.16666666666666666,0.0,0.1111111111111111,0.16666666666666666,0.18518518518518517,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[4],[3],1,1,22
0.0,0.3076923076923077,0.0,0.07692307692307693,0.0,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,[4],[3],2,1,21
0.0,0.23684210526315788,0.18421052631578946,0.05263157894736842,0.23684210526315788,0.15789473684210525,0.0,0.0,0.13157894736842105,0.0,0.0,0.47619047619047616,0.23809523809523808,0.0,0.0,0.09523809523809523,0.0,0.19047619047619047,0.0,0.0,0.10344827586206896,0.0,0.0,0.10344827586206896,0.2413793103448276,0.0,0.13793103448275862,0.0,0.1724137931034483,0.2413793103448276,"[1, 4]","[2, 3]",2,4,22
0.47058823529411764,0.0,0.0,0.0,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,0.0,[1],[3],1,1,21
0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.15384615384615385,0.20512820512820512,0.1794871794871795,0.0,0.0,0.0,0.391304347826087,0.34782608695652173,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,[1],[2],2,1,19
0.14084507042253522,0.14084507042253522,0.08450704225352113,0.07042253521126761,0.07042253521126761,0.08450704225352113,0.11267605633802817,0.08450704225352113,0.1267605633802817,0.08450704225352113,0.0,0.04,0.08,0.0,0.0,0.36,0.24,0.28,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.16666666666666666,0.0,[4],[3],2,1,21
